"V1","V2","V3","V4","V13","V14"
"1",NA,"MM","DD","hh","ATMP","WTMP"
"2",1987,"01","01","12","-04.7","03.2"
"3",1987,"01","02","12","-06.2","03.1"
"4",1987,"01","03","12","03.3","03.2"
"5",1987,"01","04","12","02.5","03.2"
"6",1987,"01","05","12","02.0","03.2"
"7",1987,"01","06","12","-02.4","03.1"
"8",1987,"01","07","12","-05.8","03.0"
"9",1987,"01","08","12","-05.7","02.9"
"10",1987,"01","09","12","-04.2","03.0"
"11",1987,"01","10","12","-06.6","02.8"
"12",1987,"01","11","12","02.0","02.8"
"13",1987,"01","12","12","02.2","02.9"
"14",1987,"01","13","12","-00.4","02.9"
"15",1987,"01","14","12","00.8","03.0"
"16",1987,"01","15","12","02.6","03.0"
"17",1987,"01","16","12","01.7","03.0"
"18",1987,"01","17","12","-00.3","02.8"
"19",1987,"01","18","12","-00.1","02.8"
"20",1987,"01","19","12","01.4","02.8"
"21",1987,"01","20","12","01.5","02.8"
"22",1987,"01","21","12","-01.2","02.7"
"23",1987,"01","22","12","-02.6","02.8"
"24",1987,"01","23","12","-01.4","02.7"
"25",1987,"01","24","12","-02.9","02.7"
"26",1987,"01","25","12","-03.4","02.6"
"27",1987,"01","27","12","01.2","02.6"
"28",1987,"01","28","12","03.2","02.7"
"29",1987,"01","30","12","-05.8","02.6"
"30",1987,"01","31","12","-04.2","02.5"
"31",1987,"02","01","12","-03.9","02.5"
"32",1987,"02","02","12","-06.4","02.4"
"33",1987,"02","03","12","-05.3","02.4"
"34",1987,"02","04","12","-04.2","02.4"
"35",1987,"02","05","12","-01.5","02.4"
"36",1987,"02","06","12","-01.2","02.4"
"37",1987,"02","07","12","00.6","02.4"
"38",1987,"02","08","12","00.5","02.4"
"39",1987,"02","10","12","02.2","02.4"
"40",1987,"02","11","12","01.7","02.4"
"41",1987,"02","12","12","01.8","02.4"
"42",1987,"02","13","12","00.8","02.4"
"43",1987,"02","14","12","00.0","02.4"
"44",1987,"02","15","12","-01.0","02.0"
"45",1987,"02","16","12","-00.5","02.2"
"46",1987,"02","17","12","-02.1","02.4"
"47",1987,"02","18","12","-04.2","02.4"
"48",1987,"02","19","12","-04.4","02.5"
"49",1987,"02","20","12","-05.4","02.4"
"50",1987,"02","21","12","-06.2","02.3"
"51",1987,"02","22","12","-04.5","02.1"
"52",1987,"02","23","12","-01.4","02.2"
"53",1987,"02","24","12","-01.3","02.2"
"54",1987,"02","25","12","01.1","02.3"
"55",1987,"02","26","12","01.2","02.3"
"56",1987,"02","27","12","02.3","02.2"
"57",1987,"02","28","12","01.8","02.3"
"58",1987,"03","01","12","02.5","02.2"
"59",1987,"03","02","12","02.5","02.2"
"60",1987,"03","03","12","02.7","02.2"
"61",1987,"03","04","12","01.9","02.2"
"62",1987,"03","05","12","01.7","02.2"
"63",1987,"03","06","12","-00.1","02.2"
"64",1987,"03","07","12","-01.1","02.1"
"65",1987,"03","08","12","-02.9","02.1"
"66",1987,"03","09","12","-00.8","02.2"
"67",1987,"03","10","12","00.7","02.9"
"68",1987,"03","11","12","02.9","02.2"
"69",1987,"03","12","12","02.7","02.2"
"70",1987,"03","13","12","02.8","02.4"
"71",1987,"03","14","12","02.7","02.7"
"72",1987,"03","15","12","00.9","02.6"
"73",1987,"03","16","12","02.2","02.8"
"74",1987,"03","17","12","02.1","02.8"
"75",1987,"03","18","12","02.1","02.6"
"76",1987,"03","19","12","01.7","02.2"
"77",1987,"03","20","12","-00.1","02.1"
"78",1987,"03","21","12","-07.7","02.4"
"79",1987,"03","22","12","-09.1","02.5"
"80",1987,"03","23","12","-05.8","02.3"
"81",1987,"03","24","12","-03.7","02.2"
"82",1987,"03","25","12","-03.5","02.3"
"83",1987,"03","26","12","-01.6","02.2"
"84",1987,"03","27","12","00.7","02.2"
"85",1987,"03","28","12","00.7","02.4"
"86",1987,"03","29","12","00.4","02.4"
"87",1987,"03","30","12","-00.7","02.5"
"88",1987,"03","31","12","-00.5","02.4"
"89",1987,"04","01","12","00.8","02.7"
"90",1987,"04","02","12","02.2","02.4"
"91",1987,"04","03","12","01.0","02.4"
"92",1987,"04","04","12","00.9","02.3"
"93",1987,"04","05","12","00.8","02.6"
"94",1987,"04","06","12","01.1","02.4"
"95",1987,"04","07","12","00.7","02.6"
